,date,Music,Podcast,weekday
148,2019-05-07,2904967,58925,Tuesday
149,2019-05-08,2997720,4732767,Wednesday
150,2019-05-09,4333562,6039235,Thursday
151,2019-05-10,9912458,761032,Friday
152,2019-05-11,21761015,5927742,Saturday
153,2019-05-12,5136733,0,Sunday
154,2019-05-13,422753,3941651,Monday
155,2019-05-14,3588771,1463768,Tuesday
156,2019-05-15,3962976,715626,Wednesday
157,2019-05-16,13622663,0,Thursday
158,2019-05-17,8501106,3250271,Friday
159,2019-05-18,2509046,0,Saturday
160,2019-05-19,4330184,3285042,Sunday
161,2019-05-20,1115409,13778750,Monday
162,2019-05-21,0,4064465,Tuesday
163,2019-05-22,90092,0,Wednesday
164,2019-05-23,252247,12285234,Thursday
165,2019-05-24,1763562,0,Friday
166,2019-05-25,311604,0,Saturday
167,2019-05-26,2368190,0,Sunday
168,2019-05-27,0,3515712,Monday
169,2019-05-28,2140023,3989501,Tuesday
170,2019-05-29,1862663,9784824,Wednesday
171,2019-05-30,2305331,7880931,Thursday
172,2019-05-31,3756274,17712081,Friday
173,2019-06-01,4574825,0,Saturday
174,2019-06-02,4929131,0,Sunday
175,2019-06-03,5646495,11538863,Monday
176,2019-06-04,8999322,2122752,Tuesday
177,2019-06-05,3950905,112832,Wednesday
178,2019-06-06,2198791,6849048,Thursday
179,2019-06-07,1443660,3872128,Friday
180,2019-06-08,6061693,3802,Saturday
181,2019-06-09,4472018,6765569,Sunday
182,2019-06-10,2417400,3745442,Monday
183,2019-06-11,1420560,12111657,Tuesday
184,2019-06-12,2128402,3855871,Wednesday
185,2019-06-13,1420849,4398100,Thursday
186,2019-06-14,3162348,3238277,Friday
187,2019-06-15,7329737,3191486,Saturday
188,2019-06-16,3001097,3300214,Sunday
189,2019-06-17,5028383,10280076,Monday
190,2019-06-18,344192,6662313,Tuesday
191,2019-06-19,1516056,7393496,Wednesday
192,2019-06-20,1556826,6245843,Thursday
193,2019-06-21,7931679,3970734,Friday
194,2019-06-22,5727888,552009,Saturday
195,2019-06-23,11457513,6860796,Sunday
196,2019-06-24,169573,6516339,Monday
197,2019-06-25,1578295,8404845,Tuesday
198,2019-06-26,5422066,5101791,Wednesday
199,2019-06-27,1596340,11745213,Thursday
200,2019-06-28,3565141,6063103,Friday
201,2019-06-29,14247792,671082,Saturday
202,2019-06-30,11861289,4565,Sunday
203,2019-07-01,547436,11326383,Monday
204,2019-07-02,2796318,6553744,Tuesday
205,2019-07-03,1494224,5556350,Wednesday
206,2019-07-04,7283865,3604653,Thursday
207,2019-07-05,4882152,5823,Friday
208,2019-07-06,8568282,327251,Saturday
209,2019-07-07,14397764,2150702,Sunday
210,2019-07-08,4734108,3192716,Monday
211,2019-07-09,2618027,6872019,Tuesday
212,2019-07-10,11388186,216768,Wednesday
213,2019-07-11,8147551,1465062,Thursday
214,2019-07-12,8341634,2202793,Friday
215,2019-07-13,17524680,0,Saturday
216,2019-07-14,7994589,201514,Sunday
217,2019-07-15,7429390,5485939,Monday
218,2019-07-16,14043202,3324820,Tuesday
219,2019-07-17,2391423,6220329,Wednesday
220,2019-07-18,0,7950663,Thursday
221,2019-07-19,3090078,2957437,Friday
222,2019-07-20,4557897,1010580,Saturday
223,2019-07-21,7940448,1379520,Sunday
224,2019-07-22,2395405,6533200,Monday
225,2019-07-23,1763696,2946473,Tuesday
226,2019-07-24,8935977,2746259,Wednesday
227,2019-07-25,6081339,979891,Thursday
228,2019-07-26,5547807,4030773,Friday
229,2019-07-27,9309100,0,Saturday
230,2019-07-28,4667389,1111850,Sunday
231,2019-07-29,2824168,10142628,Monday
232,2019-07-30,5712153,0,Tuesday
233,2019-07-31,8526416,3581629,Wednesday
234,2019-08-01,4718135,1877418,Thursday
235,2019-08-02,4765231,1197546,Friday
236,2019-08-03,8060255,1809481,Saturday
237,2019-08-04,14314629,801215,Sunday
238,2019-08-05,4688294,4394477,Monday
239,2019-08-06,12659922,3079803,Tuesday
240,2019-08-07,11226517,8833864,Wednesday
241,2019-08-08,8364821,761617,Thursday
242,2019-08-09,17582952,8405121,Friday
243,2019-08-10,13253957,4076140,Saturday
244,2019-08-11,1316389,9805563,Sunday
245,2019-08-12,203858,1288489,Monday
246,2019-08-13,0,138985,Tuesday
247,2019-08-14,0,845610,Wednesday
248,2019-08-15,8986369,5365530,Thursday
249,2019-08-16,1284486,0,Friday
250,2019-08-18,4315812,4246614,Sunday
251,2019-08-19,10041251,3311102,Monday
252,2019-08-20,17765599,853,Tuesday
253,2019-08-21,12773783,5690231,Wednesday
254,2019-08-22,8606303,0,Thursday
255,2019-08-23,7287025,0,Friday
256,2019-08-24,4700299,7843404,Saturday
257,2019-08-25,8197720,12210693,Sunday
258,2019-08-26,4301096,2957758,Monday
259,2019-08-27,8795720,2067030,Tuesday
260,2019-08-28,7345247,3545877,Wednesday
261,2019-08-29,6625586,1483074,Thursday
262,2019-08-30,8011580,3510631,Friday
263,2019-08-31,1602975,3512043,Saturday
264,2019-09-01,4207224,1543306,Sunday
265,2019-09-02,10689055,6957936,Monday
266,2019-09-03,7825952,4265408,Tuesday
267,2019-09-04,10053198,2149669,Wednesday
268,2019-09-05,6693437,6269572,Thursday
269,2019-09-06,9202901,12790552,Friday
270,2019-09-07,3308153,705474,Saturday
271,2019-09-08,7796284,1750763,Sunday
272,2019-09-09,3228328,12523879,Monday
273,2019-09-10,7612260,9340620,Tuesday
274,2019-09-11,12173970,4595841,Wednesday
275,2019-09-12,4940204,7920242,Thursday
276,2019-09-13,11941471,5341619,Friday
277,2019-09-14,9646891,3815979,Saturday
278,2019-09-15,4105917,783807,Sunday
279,2019-09-16,2572172,18769066,Monday
280,2019-09-17,9398884,8653734,Tuesday
281,2019-09-18,16310089,11862093,Wednesday
282,2019-09-19,8468332,2100293,Thursday
283,2019-09-20,8245664,4222534,Friday
284,2019-09-21,993435,588565,Saturday
285,2019-09-22,4530125,1388614,Sunday
286,2019-09-23,4915840,19486351,Monday
287,2019-09-24,8945212,9195313,Tuesday
288,2019-09-25,23943103,6426377,Wednesday
289,2019-09-26,9000337,1234112,Thursday
290,2019-09-27,11980498,10840606,Friday
291,2019-09-28,1836163,984469,Saturday
292,2019-09-29,6723115,0,Sunday
293,2019-09-30,7931256,19464922,Monday
294,2019-10-01,18652588,430494,Tuesday
295,2019-10-02,9653378,6127657,Wednesday
296,2019-10-03,12840018,3633579,Thursday
297,2019-10-04,4762099,13659483,Friday
298,2019-10-05,3843398,876221,Saturday
299,2019-10-06,12865268,451572,Sunday
300,2019-10-07,3851271,17309253,Monday
301,2019-10-08,11623298,4693710,Tuesday
302,2019-10-09,8818127,9164909,Wednesday
303,2019-10-10,21627032,0,Thursday
304,2019-10-11,1014442,1006890,Friday
305,2019-10-12,901503,180821,Saturday
306,2019-10-13,14513203,3914390,Sunday
307,2019-10-14,15012961,18778166,Monday
308,2019-10-15,18762284,1128468,Tuesday
309,2019-10-16,11724268,6792148,Wednesday
310,2019-10-17,11039958,3357419,Thursday
311,2019-10-18,13536269,6489554,Friday
312,2019-10-19,2421416,2374086,Saturday
313,2019-10-20,2785775,2335957,Sunday
314,2019-10-21,12283843,22536049,Monday
315,2019-10-22,7737198,1115416,Tuesday
316,2019-10-23,12591375,5276447,Wednesday
317,2019-10-24,4791490,2983944,Thursday
318,2019-10-25,14409126,10020040,Friday
319,2019-10-26,8107002,0,Saturday
320,2019-10-27,25273894,0,Sunday
321,2019-10-28,23374108,803054,Monday
322,2019-10-29,9273611,6450580,Tuesday
323,2019-10-30,3753225,8640,Wednesday
324,2019-10-31,10168741,10833880,Thursday
325,2019-11-01,5286955,10960583,Friday
326,2019-11-02,13275354,3076603,Saturday
327,2019-11-03,24661974,1344594,Sunday
328,2019-11-04,5959809,3666991,Monday
329,2019-11-05,13311424,2306705,Tuesday
330,2019-11-06,14854179,7398111,Wednesday
331,2019-11-07,7192194,1143311,Thursday
332,2019-11-08,11080387,16897037,Friday
333,2019-11-09,2133657,0,Saturday
334,2019-11-10,5728138,175850,Sunday
335,2019-11-11,9166221,15899650,Monday
336,2019-11-12,7603075,4053965,Tuesday
337,2019-11-13,11654193,10489771,Wednesday
338,2019-11-14,10515622,1930871,Thursday
339,2019-11-15,10593394,14961029,Friday
340,2019-11-16,12186194,972584,Saturday
341,2019-11-17,9452777,0,Sunday
342,2019-11-18,15318380,4973753,Monday
343,2019-11-19,8762587,705468,Tuesday
344,2019-11-20,11711423,3206086,Wednesday
345,2019-11-21,5947111,2492196,Thursday
346,2019-11-22,18948065,9040579,Friday
347,2019-11-23,2764045,70806,Saturday
348,2019-11-24,5142834,381415,Sunday
349,2019-11-25,10348211,11185478,Monday
350,2019-11-26,621755,4191540,Tuesday
351,2019-11-27,2776026,16506362,Wednesday
352,2019-11-28,0,377344,Thursday
353,2019-11-29,929281,7886442,Friday
354,2019-11-30,236810,0,Saturday
355,2019-12-01,9407467,4751046,Sunday
356,2019-12-02,15120275,9763562,Monday
357,2019-12-03,8114985,4549807,Tuesday
358,2019-12-04,21191713,11580569,Wednesday
359,2019-12-05,16691934,3797,Thursday
360,2019-12-06,11626193,7342412,Friday
361,2019-12-07,9919973,62677,Saturday
362,2019-12-08,6424550,22848,Sunday
363,2019-12-09,482695,2123648,Monday
